id,sport,gender,matchType,iit,status,matchNo,pool,team1,team2,date,time,courtNo
1,Badminton,Men,League,IIT Madras,upcoming,1,A,IIT BOMBAY,IIT PATNA,15/12/2025,4.00 PM,4
2,Badminton,Men,League,IIT Madras,upcoming,2,B,IIT (BHU) VARANASI,IIT GOA,15/12/2025,4.00 PM,3
3,Badminton,Men,League,IIT Madras,upcoming,3,C,IIT MADRAS,IIT JAMMU,15/12/2025,4.00 PM,2
4,Badminton,Men,League,IIT Madras,upcoming,4,D,IIT JODHPUR,IIT GANDHINAGAR,15/12/2025,4.00 PM,1
5,Badminton,Men,League,IIT Madras,upcoming,5,E,IIT KHARAGPUR,IIT BHILAI,15/12/2025,2.00 PM,3
6,Badminton,Men,League,IIT Madras,upcoming,6,F,IIT ROORKEE,IIT DHARWAD,15/12/2025,2.00 PM,2
7,Badminton,Men,League,IIT Madras,upcoming,7,G,IIT DELHI,IIT PALAKKAD,15/12/2025,2.00 PM,1
8,Badminton,Men,League,IIT Madras,upcoming,8,A,IIT BHUBANESWAR,IIT PATNA,16/12/2025,4.00 PM,4
9,Badminton,Men,League,IIT Madras,upcoming,9,B,IIT GUWAHATI,IIT GOA,16/12/2025,4.00 PM,3
10,Badminton,Men,League,IIT Madras,upcoming,10,C,IIT ROPAR,IIT JAMMU,16/12/2025,4.00 PM,2
11,Badminton,Men,League,IIT Madras,upcoming,11,D,IIT INDORE,IIT GANDHINAGAR,16/12/2025,4.00 PM,1
12,Badminton,Men,League,IIT Madras,upcoming,12,E,IIT TIRUPATI,IIT BHILAI,16/12/2025,2.00 PM,3
13,Badminton,Men,League,IIT Madras,upcoming,13,F,IIT MANDI,IIT DHARWAD,16/12/2025,2.00 PM,2
14,Badminton,Men,League,IIT Madras,upcoming,14,G,IIT (ISM) DHANBAD,IIT PALAKKAD,16/12/2025,2.00 PM,1
15,Badminton,Men,League,IIT Madras,upcoming,15,A,IIT BOMBAY,IIT BHUBANESWAR,17/12/2025,4.00 PM,4
16,Badminton,Men,League,IIT Madras,upcoming,16,B,IIT (BHU) VARANASI,IIT GUWAHATI,17/12/2025,4.00 PM,3
17,Badminton,Men,League,IIT Madras,upcoming,17,C,IIT MADRAS,IIT ROPAR,17/12/2025,4.00 PM,2
18,Badminton,Men,League,IIT Madras,upcoming,18,D,IIT JODHPUR,IIT INDORE,17/12/2025,4.00 PM,1
19,Badminton,Men,League,IIT Madras,upcoming,19,E,IIT KHARAGPUR,IIT TIRUPATI,17/12/2025,2.00 PM,4
20,Badminton,Men,League,IIT Madras,upcoming,20,F,IIT ROORKEE,IIT MANDI,17/12/2025,2.00 PM,3
21,Badminton,Men,League,IIT Madras,upcoming,21,G,IIT DELHI,IIT (ISM) DHANBAD,17/12/2025,2.00 PM,2
22,Badminton,Men,League,IIT Madras,upcoming,22,H,IIT KANPUR,IIT HYDERABAD,17/12/2025,2.00 PM,1
23,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,23,PQF 1,WINNER OF POOL A,RUNNER-UP OF POOL C,18/12/2025,4.00 PM,1
24,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,24,PQF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,18/12/2025,2.00 PM,1
25,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,25,PQF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,18/12/2025,2.00 PM,2
26,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,26,PQF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,18/12/2025,4.00 PM,4
27,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,27,PQF 5,WINNER OF POOL E,RUNNER-UP OF POOL G,18/12/2025,4.00 PM,2
28,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,28,PQF 6,WINNER OF POOL F,RUNNER-UP OF POOL H,18/12/2025,2.00 PM,4
29,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,29,PQF 7,WINNER OF POOL G,RUNNER-UP OF POOL E,18/12/2025,4.00 PM,3
30,Badminton,Men,Pre-Quarter Final,IIT Madras,upcoming,30,PQF 8,WINNER OF POOL H,RUNNER-UP OF POOL F,18/12/2025,2.00 PM,3
